trip_id,name_stop,route_id,trip_headsign,arrival_time,departure_time,stop_sequence,lat,log
6521747-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",08:05:00,08:05:00,1,44.7028,-63.8582
6521747-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",08:46:00,08:46:00,2,44.6499,-63.5776
6521748-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",07:35:00,07:35:00,1,44.7028,-63.8582
6521748-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",08:16:00,08:16:00,2,44.6499,-63.5776
6521749-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",06:25:00,06:25:00,1,44.7028,-63.8582
6521749-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",06:56:00,06:56:00,2,44.6499,-63.5776
6521750-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",07:10:00,07:10:00,1,44.7028,-63.8582
6521750-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",07:51:00,07:51:00,2,44.6499,-63.5776
6521758-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",12:55:00,12:55:00,1,44.7028,-63.8582
6521758-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",13:03:00,13:03:00,2,44.6726,-63.7829
6521758-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",13:40:00,13:40:00,3,44.6499,-63.5776
6521759-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",14:30:00,14:30:00,1,44.7028,-63.8582
6521759-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",14:38:00,14:38:00,2,44.6726,-63.7829
6521759-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",15:15:00,15:15:00,3,44.6499,-63.5776
6521760-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",15:25:00,15:25:00,1,44.7028,-63.8582
6521760-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",15:33:00,15:33:00,2,44.6726,-63.7829
6521760-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",16:07:00,16:07:00,3,44.6499,-63.5776
6521761-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",05:50:00,05:50:00,1,44.7028,-63.8582
6521761-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",05:58:00,05:58:00,2,44.6726,-63.7829
6521761-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",06:26:00,06:26:00,3,44.6499,-63.5776
6521762-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",07:20:00,07:20:00,1,44.7028,-63.8582
6521762-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",08:01:00,08:01:00,2,44.6499,-63.5776
6521764-2012_08A-1208BRwd-Weekday-01,"hubley Centre",330-114,"330 HALIFAX",06:55:00,06:55:00,1,44.7028,-63.8582
6521764-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",07:36:00,07:36:00,2,44.6499,-63.5776
6521768-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",06:42:00,06:42:00,1,44.6726,-63.7829
6521768-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",07:18:00,07:18:00,2,44.6499,-63.5776
6521769-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",07:12:00,07:12:00,1,44.6726,-63.7829
6521769-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",07:50:00,07:50:00,2,44.6499,-63.5776
6521770-2012_08A-1208BRwd-Weekday-01,"sheldrake Lake Park & Ride (to Halifax)",330-114,"330 HALIFAX",07:40:00,07:40:00,1,44.6726,-63.7829
6521770-2012_08A-1208BRwd-Weekday-01,"albemarle St after Duke St (metrox)",330-114,"330 HALIFAX",08:18:00,08:18:00,2,44.6499,-63.5776
